airline_sentiment,text
negative,@USAirways this has been the worst trip with little to no customer service
positive,"@USAirways @AmericanAir Thank you for a couple of easy, hassle free flights today, professional and friendly staff made everything easy!"
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/gHJBp5Gg67” why
negative,"@USAirways Website won't let me change online even though airline issued travel advisory, now on hold for 50 minutes. Help."
positive,@USAirways big thanks to Yvonne Anthony from the Chairman's desk.  Top tier customer service today.  #outstanding #service &amp; #support.
negative,@JetBlue You also promised to change my wife's name on the account and it is also not done.  WTF?
neutral,@USAirways thank you
negative,@united I missed it. Set up in a hotel. Flights delayed in SFO for 6+ hours. Missing all the wedding festivities of my friend. 😞
negative,@united After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.
negative,"@united, wtf is your username and/or email addr signin STILL unavailable? Been trying to login since Sunday"
negative,"@AmericanAir hey ho its not me losing any money (only you) just next make sure you stick to the ""flyers right's booklet"""
negative,@united please get me off this plane #UA57
negative,@united we are sitting on the runway for 2 hours! It is ridiculous!!
negative,@USAirways I made a reservation online but I didn't receive any confirmation email. My bank said the transaction went through. Can u help?
neutral,@JetBlue @zakkohane pretty sure he's saying Ricoh had great service down at BOS ;) #happytohelp
negative,@AmericanAir Err 2 hour wait time for the Exec. Plat. line?
negative,"@SouthwestAir ruined my Sunday. 3+ hours of delays out of DIA, now my bags are at the wrong airport. $35 to deliver them? Insult to injury."
negative,@united why is it that Sundays when my husband travels to Chicago he's stuck at Tarmac &amp; misses connecting flight always
neutral,@USAirways how long is that flight? http://t.co/bCwckWtnlE
negative,@AmericanAir She seems a little preoccupied - that's why I'm bringing it to your attention. I am just flagging an issue as an observer.
negative,"@AmericanAir called last night, after 10hrs got call back, can I get a one day pass to admirals club? I'm going to be spending 7hrs in DFW"
negative,@united just had the worst customer service experience ever on united airlines
negative,@USAirways Your policy needs a serious revision for babies.  Fortunately I have choices and choose @Southwest from here on out.
positive,"@JetBlue she helped me with my problem so easily and was so nice, you guys rock!"
negative,"@AmericanAir  To add, I have to get up to go to work tomorrow am.  I don't like having to wait up until 12 or Late Flightr.  CS sucks."
negative,"@United the ones who suffer. I understand delays, I don't understand trying speed up a process that has been delays to this extent."
negative,"@AmericanAir can lie to you about where your lost bag is, but we are suppose to trust them with our lives thousands of feet in the air..."
negative,@SouthwestAir been on hold for &gt;30 minutes about my Cancelled Flightled flight. Still not talked to anyone and flight is soon. What gives?
positive,@AmericanAir Thank you
neutral,@AmericanAir thank you
negative,"@SouthwestAir worst customer service, Terrible attitudes. I don't care how big a storm.  Your employees need an attitude adjustment"
negative,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)"
negative,@AmericanAir @cnnbrk she tried they are not doing anything said they would talk to stewardess about serving drunks drinks how does that help
neutral,@united its available online I just can't figure out how to do it to guarantee same flight
neutral,"“@JetBlue: Our fleet's on fleek. http://t.co/pa7dCjXlzL”

C'mon fam😭😭 just. No. Ok?"
negative,@usairways I just learned that although there is travel policy and they waive the change fee-you will still be charged a $25 reservation fee
negative,@SouthwestAir I lost my luggage. My birthday wish is to find my luggage.
neutral,"@SouthwestAir I have a flight to Vegas coming up soon, but haven’t received any drink tickets Late Flightly. Can you help me out?"
negative,"@JetBlue I travel for business twice a week and after the @AmericanAir fiasco, I'll be flying blue more often. Thanks."
negative,"@united how can i trust United with future Flight Booking Problemss when a confirmed, ticketed and purchased ticket is Cancelled Flightled after the fact?"
positive,@SouthwestAir finally through thx
negative,"@United and @DirectTV. Not to pile on, but it's time to update your in flight TV package. http://t.co/Lug4MFVWsA"
neutral,@AmericanAir do you still use DC9's?
negative,@USAirways  last 2 times I checked a bags they were severally damaged.   No one answers the baggage call line for status?  #chairmanlove
negative,@USAirways I've been sitting in the Charlotte airport for 4 hours. Waited for crew and now maintenance.  #NeverAgain
negative,@united Can't beat the storm out of town if you wait to issue the policy until too Late Flight.  NWS issued storm warning already...
negative,@united @MaxAbrahms *if* he needs assistance? Do you expect him to go on a Scooby Doo tour of terminals until he finds his stuff?
positive,@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.
negative,@USAirways testing my patience this evening (or shall I say morning?). We waited an hour at the gate for you to find a gate agent.  130am
neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
negative,@united hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out
negative,@JetBlue U said 15mins to Take Off and now we were told 1hr more delay &amp; possible Cancelled Flightlation. How do U plan to rectify this? #Frustrated
negative,@united yes was trying to upgrade my seat. Now there are no available spots
negative,@SouthwestAir Ive had on an airline. Everyone else has been great but she soured the whole experience for me. Hope she's not there next time
positive,@SouthwestAir That would be brighter than all the stars combined on the red carpet tonight!
negative,"@USAirways already did. I travel for a living, no help at all that it will take 3-4 weeks for any repair. And I have to pay to ship to TX."
negative,@USAirways I'm unable to check in for flight 2119 BOS-DCA and haven't heard if flight was Cancelled Flighted/rescheduled. Any updates??
negative,@AmericanAir misplaced my bag 36 hr ago and can't tell me where it is. I've lost $1000 of stuff :( #AmericanAirlines #unamericanairlines
negative,@AmericanAir I even went to ticket counter and got no help
negative,@AmericanAir dont send me a tweet to cover your social media complaints. How about sending me a message with a way to resolve?!?! #CustServ
positive,"@JetBlue Yesterday on my way from EWR to FLL just after take-off. :)
#wheelsup #JetBlueSoFly http://t.co/9xkiy0Kq2j"
negative,"@USAirways @PHLAirport Cancelled Flighted flight due to weather no problem, but wait for luggage for 4 hours?? IT MUST BE DELIVERED!!"
positive,@AmericanAir  Mad love http://t.co/4ojrSDWPkK NYC-
negative,@SouthwestAir not very helpful trying to get out of Nashville.Should waive change fee for 2/18.
negative,@united then why do you bother responding? Your customer service is THE WORST. Never using you guys again.
neutral,@JetBlue That's pretty nice. Are flight credits automatically given after the flight? I also wish there were a lounge I could sleep in.
negative,@AmericanAir It's not your agents; it's your voice activated system that's not working right. And no email on Cancelled Flightlation. Lots of problems
negative,@USAirways pure anarchy on flight 555 to SLC. People walking in with nothing packed in bags with arms full of stuff. #getittogether
positive,@united thank you for the help!!
negative,@JetBlue *cough* #awkward!
positive,@JetBlue thank you for getting me home. And despite all odds I have reunited with my delinquent Southwest luggage. Now homeward
negative,@united so? Found anything or just showing off? You do realise that the morning flight that you Cancelled Flightled was more pricey than the evening?
negative,@JetBlue Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(
positive,@SouthwestAir tv stream means I get to spend my flight watching 1999 and 2011 Women's World Cup Finals. #throwback #bestflightever
negative,@united Designed to deter people from forgetting things or to provide more storage space? The article says the latter #unfriendlyskies
negative,@USAirways I'm trying to Request Missed Mileage and it keeps saying it can't my flight from 2/13. Then it says call the number.
negative,@united no HUMAN contact for 2 mths from @AmericanAir cust relations or refund dept. If ever a problem do u have humans I can talk to?
negative,@AmericanAir as your flight attendants are an extension of your brand - bitchy flight attendants on 5:30 am flights are not appreciated.
negative,@AmericanAir Only fluctuated because aa took 2 hrs to call me back.Ended up paying (extra) in $US so above statement not true
negative,@united roundtrip to London on @Delta ? I think I will! FYI that's another $1k you just lost. #moneynotspentonunited #unfriendlyskies
negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
negative,"@united @laurasbrown5 Clearly United lives in the stone age. Some people don't need computers, make your site better for tablets and phones"
negative,".@united I think not. I'm not flying you again, if I can help it."
negative,@AmericanAir @cjdjpdx not a valid response in 2015 for a multinational corp whose profits are measured in billions. Stop understaffing!
negative,@USAirways really? 8 hr delay in Virgin Island and not even a food voucher.
neutral,Alright... Someone has to stop this! RT @JetBlue: Our fleet's on fleek. http://t.co/lchVJoliDg
negative,@united 3 Gate changes in 30 minutes for flight to Roanoke and flight to sous falls in O'hare... Painful
neutral,@JetBlue Thanks for the FB. message telling me I will have to wait between 1-3 days.  I'm waiting.
negative,STOP THIS “@JetBlue: Our fleet's on fleek. http://t.co/Ac6zwmuOOn”
positive,"@JetBlue I DM'd my confirmation code... Thanks again for your help! Mommy, daddy, and kids appreciate it!"
positive,@united will do. Thanks for the help. Cheers
positive,@united you guys have such big hearts.. keep up the good work
negative,"@AmericanAir On hold since 5am. When no one can get to the airport, Cancelled Flight flight, don't make us pay huge fee to change flight."
positive,@JetBlue @ProfessorpaUL15 Always happy to help!
negative,@united 20 minutes plus to get through to a two after the first one transferred me to a spanish hotline is unacceptable!
negative,"@united has me #stranded (weather NOT to blame). 1hr+ hold to speak to an agent that doesn't understand the concept of time zones, thanks!"
neutral,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Of7PFvQpOY
negative,@USAirways I’ll do that in addition to reviewing on my blog. Your agents were pleasant but the experience was less than :/
negative,"@AmericanAir but, what I can always rely on when I fly USAir or American is that employees will be rude and unhappy."
negative,@AmericanAir approaching three hours sitting in the plane on the ground at DFW on #AmericanAirlines flight 3056 - Oscar performance
positive,@USAirways Kudos to Robin at @PHXSkyHarbor Lost/Found for reuniting me w/ my iPad. She was delightful to work with!
negative,"@USAirways @ALfamilyoffour maybe if there was anyone answering the phone they would. ""Please call back Late Flightr"".For 18 hours? Not good enough"
neutral,@united please reroute Oregon Women's Tennis to Santa Barbara. There's supposedly another connection from LA.
neutral,@JetBlue I'm flying your airline just out of #LGA 😷
neutral,@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta
negative,@united I just want to contact someone with a question &amp; not be put on hold for 5 minutes in order to be hung up on or sent to the pet line
negative,@USAirways Ill never fly you again due to the emotional &amp; financial stress you have caused me because of one of your staff members errors.
negative,@united WHERE IS MY RECEIPT! I upgraded return leg and 6 months Late Flightr still NO receipt! http://t.co/DAjWzhLVyu
negative,@SouthwestAir I need to reschedule a flight and I've been on hold for almost an hour. This is ridiculous. Is there a best number to call?
negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
negative,@USAirways yes had to go pick up and pay 40 cab ride very rude employee poor customer service
negative,@AmericanAir The issue is the lack of consideration of an announcement made so Late Flight when the gate agent had been there for over an hour.
negative,@united so this did not work out at all!! Incredibly unfriendly ground staff and false promises over Twitter @theairhelper
positive,"Still thinking, those PJs may have me sold @AmericanAir @momsgoodeats We'd #love to have you on board with us! @MandarinJourney here I come"
negative,@JetBlue 2 aisles of empty #evermoreroom seats and we can't move bc we didn't pay?! #nonsense #Waste #JetBlue #jetbluebos #cheap
negative,"@JetBlue 2 hour delay while sitting on the plane and you still wanna charge me for beer? Nah, I'm good."
negative,"@United Wonder why people hate dealing with airlines?  Ridiculous and inflexible ""policies"".  I need a phone number and a resolution.  Now."
negative,"@united So publicly you asked for details on my flt. Sent you a DM, like you asked, and have yet (2 days) to hear from you. #unitedfail"
negative,@USAirways Merging AA and DividendMiles yield an error. What are the _exact_ steps to navigate the phone menu? All I get is a computer.
negative,@united How do you have a scheduled flight WITH NO CREW? Is there a competent person working at this airline?
neutral,@southwestair @cspkcats let us know if we can help
neutral,@united what's the best way to get your tickets? Print off at home or go to check in desk?
negative,@USAirways they finally answered. They were rude and didn't help me at all.
negative,@USAirways- can you tell me what the policy is for preboarding with small children? Is that still a thing?
negative,@united @perfectomobile huh?  I have sent 16 crash reports in Feb alone.  8 in one day.  Only app I have that consistently crashes.
negative,@SouthwestAir INSANE traffic in LA. Trying to call you all to re schedule flight but been on phone for 20 minutes and nothing.
positive,.@united This flight attendant was extremely helpful to a woman who had a hard time walking. Very touching!
negative,@AmericanAir 6 hours to get backs back after being sat on a plane for 4 hours to have flight Cancelled Flightled with only one small drink
positive,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated
negative,@AmericanAir @robinreda being stuck two days in the airport is not something pretty normal. I am positive you can find a plane to Europe
positive,@JetBlue mission accomplished: gave @paulgordonbrown  a hug http://t.co/LT1pYKfvRq
negative,"@USAirways I have now called 12 times in the last three days. That's unacceptable. I'm willing to wait on hold, but that's not an option."
neutral,@JetBlue works with Google #chrome but not Internet Explorer.
negative,@united Ruth was VERY helpful in re-routing us to Punta Cana when Dulles connection failed. Other reps- NOT so helpful.
neutral,@united. It's not my first time flying to the US. I have medical info. Looking for practical like my adapted seat cushion allowed on?
negative,"@USAirways your checkin at @PHLAirport is a #shitshow, and the agent behind the counter who tried to send me to the wrong destination=rude!"
negative,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!
negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
positive,@united Hubby made it by the skin of his teeth!   :)
negative,@JetBlue being told by this guy that he will not help us sit next to our 5 and 8 year old on the flight. #jetblue http://t.co/49FLbgzZkd
negative,@united thanks for not letting me switch flights Bc I had a checked bag then Cancelled Flighting my flight forcing me to take another 3 hrs Late Flightr!
negative,"@united ""where we trick you into making us look popular on Twitter by being the worst airline"" #wellplayed #jokesonus"
negative,@united Been trying since 1230 to file a report.
negative,@USAirways so basically I am stuck paying for hidden fees and being bumped to an inferior flight. JetBlue here I come. #usairways #mergers
negative,"@united 2100$ ticket,12h biz trvl,no wifi.Missed con flt,next one#24h,missed meeting,7$ food voucher,hotel chkout#12,flt#5,no wifi#hotel"
neutral,@SouthwestAir I have a 5:30 flight out of Birmingham tomorrow night. Can I reschedule it for an earlier flight because of the expected snow?
negative,@SouthwestAir why do you let one person board with early bird and save seats for entire party? #notcool #flight2149
negative,"@SouthwestAir - I have spent 87 minutes (and counting) on hold w/ you today. After first 48 minutes, I gave up. Trying again &amp; on 43rd min."
neutral,"@AmericanAir please rebook me from Seattle to Columbus Tue 2/24, locator: KARAAX, name: Mitchell M Neuer"
neutral,@SouthwestAir Flight 3744 (N284WN) departs @FlyTPA enroute to @PHXSkyHarbor http://t.co/Bd5tvr3Gcy
negative,@united hello. I'm overseas &amp; my bag is lost. I can't call customer service but can you help me?
negative,@united thanks for ruined my vacation for having poorly maintained aircrafts that can’t fly safely out of STT. #UA1481 #Cancelled Flightledflight
negative,@united &amp; I've been hung up on twice by your staff. So upset right now
positive,@USAirways lol me too
negative,@united I can't find any Late Flight evening flights. Are there other airports that would have an overnight flight?
negative,@united disappointed to learn you are now charging $200 to use 20k miles for upgrades on PS JFK flights. Will be looking at alternatives.
negative,@united Pls post video of belligerent jerk ranting at SFO (1230) that's he's going to sue you for making him check his 3rd bag. He's a hoot!
positive,Don't show these to Larry Fedora. RT @JetBlue: Our fleet's on fleek. http://t.co/qqlzk2jkzR
positive,"@JetBlue aha, ok. Thanks! Was worried there might not be a seat at all :) Will do it at the airport tomorrow then!"
negative,@SouthwestAir we're doing our best; sitting at a gate waiting (while not being given information why we're delayed) isn't making this easy
negative,"@united although, I am stranded in Chicago O'Hare for another 8 hours. Any chance your cracker-jack service team could provide a meal?"
negative,@USAirways how do I change flights . 3 hours is crazy please help
negative,@VirginAmerica Your website is down and I'm trying to check in!
neutral,@SouthwestAir could you please tell me if there is a way to add a RR# to a flight that already took place?
positive,"@SouthwestAir Sent your way, thanks for the help."
negative,@SouthwestAir but to make us tru to find space in other flights.  This customer service is as bad as @SpiritAirlines.
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
negative,"@AmericanAir oh it can get better apparently. After making us wait for a gate, psych!! Now we need you to de-ice before coming to the gate!!"
negative,"@JetBlue last flight was Cancelled Flightled, then it was 2 hours to change a light bulb, now sitting here waiting for maintenance. Unreal."
neutral,@united at the gate! IAD to RDU
negative,@AmericanAir hey there me again from yesterday im still on hold
negative,@united i will just send my confirmation number when I get home safe and sound. This is why i pay so expensive services to you!
positive,@united will do. Just need to get CVG.... and my bag too. Thanks
positive,"@JetBlue Well, thankfully they've got a nice food court here...When will an update be posted?"
negative,@AmericanAir from the rude ticket counter employees to forcing my wife on standby and then pushing her down the list.. it was a very bad day
negative,"@AmericanAir so if your genuine, give me your opinion  on what occurred last night 445 fly  from phl, to mia. No assistance at airport"
neutral,@USAirways &amp; @AmericanAir what are your weight restrictions for carry on luggage? Can find measurements but not weight restrictions. TIA
negative,@USAirways now on hold for 75 minutes.
negative,".@AmericanAir nice 2 know. I paid 4 a seat. Then you sold my seat. now I bought a 3rd seat. It's a good scam, but a scam all the same."
negative,@united if our already rescheduled flight is Cancelled Flightled is our hotel room paid for?
negative,"@USAirways Cancelled Flights my flight to NY 3 times, then once I make it here they decided for S&amp;Gs they'll Cancelled Flight my return flight too. Thanks."
negative,"@SouthwestAir coming up on 2hrs on, still haven't spoken to a rep"
negative,@AmericanAir Flight 2559 it's been delayed every hour since 8:55 am.
negative,@AmericanAir I would like a refund for this flight. They delayed the flight 5 times. I feel like you're making fun of us.
negative,"@USAirways My booked seat ended up being the last row which was labeled ""do no occupy"" had to play musical chairs for 30 mins. Unacceptable"
neutral,@SouthwestAir Pres/CEO Gary Kelly at #TheRoFo addressing 2000 of his BWI based employees. @cbsbaltimore http://t.co/OI32uq2tTZ
neutral,@SouthwestAir still planing on flights into Dal? We are trying to fly in tomorrow from lax
neutral,.@JetBlue That's what I planned on but Boston traffic due to recent weather was insane! If I had been expedited I would have made it.
negative,@AmericanAir you're airline is ridiculous
negative,@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.
neutral,@united Will do! Thanks!
neutral,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
negative,"@SouthwestAir  you are over 40, please start acting your age and stop with the short-shorts!"
negative,@SouthwestAir some woman gets on plane and holds 2 seats in the bulkhead for her friends with C boarding passes. I paid $ earlybird thx
positive,@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks
negative,@USAirways wonder if this misery is considered a damage in a breach of contract lawsuit #lawyerup
negative,@united I'm not know if the seats are actually narrower than other seats but they feel like it. Or maybe I'm extra bloated.
neutral,@united doesn't purchasing ticket with a united card give me priority boarding ?
positive,@AmericanAir thank you!
neutral,@SouthwestAir Could you maybe hook (@FuyukaiDesuYo ) with some imagine dragon tickets tonight! SHES a HUGEEEEE FAN &amp; would really love to go
negative,@SouthwestAir lost bag on flight to Vegas. Now to El Paso. Going to Dallas love. Gate attendant said see if can coordinate to get it to Love
negative,@united I'm flying @AmericanAir on the way back. I rarely fly them but let's see if they are any better....
neutral,@VirginAmerica is your website ever coming back online?
neutral,"@AmericanAir got a callback at 1 am, took care of it. thanks."
positive,@united despite my bag not making it to Newark good informative email tracking updates help!
negative,@USAirways your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad
negative,@AmericanAir after all that weve been through today as a courtesy to not allow a passenger with an oxgen tank sit up there is bad business
neutral,@JetBlue window exits give it away.
negative,"@USAirways I've been on hold to rebook a Cancelled Flighted flight for over two hours. I know weather has a huge impact, but you should anticipate."
negative,"@VirginAmerica
wjere is our luggage #so slow at lax"
negative,"@united Heads up We didn't check 8 bags, 2 we checked arrived, those aren't claim #s for our 2. Other people's bags? http://t.co/dplQ3mhQGD"
positive,@SouthwestAir listening center is open seating just like on their planes. #RaganDisney
negative,"@united you failed me last week at IAH. Next intl trip on Delta. Small ual flight from lax booked, that's it!"
positive,@united thnx ^LO :-)
negative,@USAirways is it ok for a flight attendant to talk nasty about passengers while they go get drinks by the restroom? I was shocked listening
positive,"@SouthwestAir Great flight yesterday from MSY to AUS!! Thank you for such great safety,service and beautiful skies!! http://t.co/X1EqYAHfvZ"
positive,@united has the best customer experience via twitter - huge fan!!!
negative,@SouthwestAir never got any notification that flight 955 was Cancelled Flighted today. Correct phone # and email on file. Not a happy customer.
positive,"@AmericanAir versus @JetBlue 
in Customer Service?
Who will win!
For Me @AmericanAir is a convenience to a trip to Cali &lt;3"
negative,@USAirways so you're going to make me wait that long on the phone line when you can help me? # that's part of the problem
negative,"@united again HORRIBLE service, again attitude when asked for information, again you make me not want to fly UNITED ever. #platinummember"
neutral,@USAirways I think it's ok.
neutral,@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg
positive,@united cldnt be happier w the many plastic wing pins given to me on flight 494. I love them! Amazing staff! So nice http://t.co/CbV7f3KBKx
negative,"@AmericanAir of course it wasn't your intention, issue lies in lack of response. she did contact you directly; she sat on hold for 50 mins"
neutral,@SouthwestAir Salted or honey roasted? I vote to bring back the salted peanuts. I dread a year of the honey roasted!😖 http://t.co/RHw78ktQFO
negative,@JetBlue please get service started at @triflight and offer good routes lile florida upstate ny vegas etc
positive,@SouthwestAir Had a great trip this past week to Vegas for work; and had this pic over the Southwest on Southwest! http://t.co/a3YCFlaLxV
negative,@SouthwestAir @fly2midway 45 minute wait for my bags. Just what I needed on a Sunday night.
negative,@united sitting on UAL 683 - a comedy of errors.  UAL is incompetent
positive,"@SouthwestAir thx for smooth landing today @fly2midway, we applauded! Now what can u do abt the weather? #takemeback http://t.co/OQZ7Wc4lLA"
neutral,@united hello. I got off a flight a few months ago and constantly think about your peanuts. Is there anyway you could send me some?
positive,@JetBlue Gotcha... thanks for the update. I'm ready to go whenever you are :) Enjoy your evening.
positive,@SouthwestAir Thanks for the response. Was able to get my situation resolved. Not a fan of Mother Nature today. :)
neutral,@USAirways Please hold US1765 for me. Need to get home tonight before weather. Almost there.
negative,@AmericanAir so we have a Cancelled Flightled flight in about twelve hours. Maybe we'll have heard from an AA rep at that point.
negative,@USAirways my in-laws flight Cancelled Flighted 4 tonight. U auto rebooked 4 flight on Tuesday that doesn't work. Can you help reFlight Booking Problems them?
neutral,"@united Alright, thank you. Is there a page that says the routes you have for each aircraft? Specifically the 787."
positive,@AmericanAir Let's all have a extraordinary week and make it a year to remember #GoingForGreat 2015 thanks so much American Airlines!!!
positive,@AmericanAir thanks keep me updated just hope I make either of my connections to Killeen Tx
positive,@JetBlue its a wonderful thing!
positive,"@AmericanAir sure, thank you!"
negative,"@SouthwestAir that's gotta be a new record: 4 hrs in the air, 11 hrs waiting and 0 bags delivered to destination."
neutral,@JetBlue Will do.  I'll tell him you say hey.
neutral,@united follow back and I'll give you the details.
negative,"@JetBlue and have empty ""help"" desks"
negative,#nothelpful MT @AmericanAir: Our call volume is extremely high today. Our apologies. Please continue contacting Reservations for assistance.
negative,"@AmericanAir Define ""sincerely"". Your actions do not reflect what you're saying in a poor attempt to redeem yourselves on social media."
neutral,@AmericanAir What happens when you combine Top Chef &amp; the beauty of San Miguel de Allende. My Late Flightst food blog.  http://t.co/7t1rDRCRe6
negative,"@united Additionally, my husband paid for tv service &amp; it stopped working about halfway through the flight."
negative,@AmericanAir any idea on what the wait time is for refunds from @USAirways? I was told a few days over the phone - but it's well past that.
negative,@AmericanAir please fix your mobile and desktop site to allow Canadians to select a passenger when checking in. Thanks.
negative,@USAirways @AmericanAir 3 hours on hold got rebooked on a new flight yesterday. I asked for a new itinerary/confirmation email to be sent
neutral,@AmericanAir - keeping AA up in the Air! My crew chief cousin Alex Espinosa in DFW! http://t.co/0HXLNvZknP
negative,@AmericanAir seats that were assigned are inappropriate for child this age. AA knew age of child.
neutral,@united I just sent to you.
positive,@JetBlue where's my selfie?
negative,@USAirways 2day: no coffee &amp; 1 working toilet.  Then I read domestic airlines whining re: foreign competition.  Coincidence?  No  #openskies
negative,"@JetBlue Seriously, what is your solution? Who exactly will help my 5 year old if there's a problem with the plane? http://t.co/vPDRPLXj5a"
neutral,@SouthwestAir from LGA to San Diego
neutral,@JetBlue I can't pay 30 bucks xD
positive,"Hey @JetBlue, that's a sexy tattoo you got there on your left engine. #Jetbae http://t.co/Ox4w6KtsGI"
negative,@AmericanAir it's always better to find out equipment is INOP on the ground than in the air! #safetyfirst
neutral,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch
negative,@SouthwestAir Thank you - hung up after 1hr 7min on hold. Would you like me to DM you contact info?
negative,"@united I did, and as I thought, nothing happened"
negative,"“@AmericanAir: @Andrew_Wasila We're sorry you were uncomfortable, Andrew. What can we do for you?” SMA"
negative,"@AmericanAir I would love to say the same but it's not so much. 5hs flight, no internet, no personal A/C, 20yr old plane. #NoFunAtAll"
neutral,@JetBlue Come on and provide service from Destin- Fort Walton Beach Airport
negative,"@united and btw, the @Virgin and @JetBlue managed on time departures same time same destination- &amp; wouldn't take away a 9year old kids bag!"
negative,@USAirways understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.
negative,@united we followed the baggage rules on your website and was still charges $150. But only going one way
neutral,@united hi! I just bought a flight with united through ebokeers from Paris to Miami. Do I have any chance to check that everything is ok?
negative,@united at this point I made it home on my own.
negative,@united what a joke. Hang up on customers!!
negative,@united Thanks.    This one was delayed an hour and a half prior to scheduled departure.
negative,@united I'd thank you - but you didn't help.  taking 6 hours to reply (so I get a message in the middle of the night) isn't actually helpful
negative,@AmericanAir so I have to call back at 9 since the department is closed. This has to be the biggest bunch of bull!
neutral,@USAirways 1826 trying to make a connection to Punta Cana leave PHL at 9:50
negative,@AmericanAir lost @LeslieWolfson luggage on flight yesterday morning #Miami to #NewYork #LGA no response and no luggage more than 37 hrs ltr
negative,@AmericanAir 2days 2plains 2fails
neutral,@JetBlue Just signed up for TrueBlue and booked a flight but keep getting an error when I try to link it to my TB account. What's the deal?
negative,@JetBlue I have been on phone with rep for over 30 min and was transferred after asking not to be. She was the worse rep I ever had
negative,"@SouthwestAir horrible experience, passenger of size was 1/3 in my seat, offered $50 voucher for this by Christine C http://t.co/1xzrK66wVQ"
negative,@USAirways NOW they're not even accepting calls AT ALL! Come on.
positive,@SouthwestAir filing it now. Thank you for your response.
negative,I feel completely cheated @united. I read your commitment to customer service via website and def did not get service suggested there.
positive,@SouthwestAir Thank you for the vouchers after the long wait on the runway Saturday night at BWI! I really appreciate it! #SWfan
neutral,@united need help. Never got tickets. Conf #ggqzqd
negative,"@USAirways Disgusted with your poor customer service. U wrongfully remove &gt; 65,000 miles from my Dividend Miles and no live person,"
negative,@United We've been waiting on tarmac for &gt;1hr because apparently UA1116 is overweight &amp; we returned to gate. #WTF #fb
positive,@AmericanAir DONE!! thank you so much!!
negative,"@USAirways OK we are on DAY 11 trying to  book a flight for 4.  Ur system STILL says ""due to weather….call back Late Flightr""  #outofbusiness ?"
negative,@united that's what I have been told. But refund doesn't really makeup for the inconvenience caused and the missed meeting... Does it?
negative,@USAirways now you have over 50 people in line. This is stupid!!! What the heck!
negative,"@AmericanAir your online site doesn't have flights listed in chronological order, resulting in a mis-purchase. Anything that can be done?"
neutral,@AmericanAir I know you are getting pummeled tonight @dfwairport we were one of the lucky out of @slcairport just one more @AUStinAirport
neutral,@USAirways can you help us figure out our correct six digit confirmation number?
negative,@United can you let us out of the gate now. UA1157
negative,@united it's not there we tried. It's already here in cancun just no one has delivered it
negative,@AmericanAir calling at 1am to tell me my flight has been rescheduled 12 hours Late Flightr than it was supposed be to seems like a bad solution
positive,@SouthwestAir Customer Centricity is knowing people #ANAMarketers
negative,"@USAirways Yep, except this delay was due to a hasty and unwise decision to pushback other plane before the plows were done. #fail."
negative,@USAirways that wasn’t my Q but thanks. Wondering why you’re the only ones. I disguised yours to not call you out. ;) http://t.co/uH6UwuOSC0
negative,@JetBlue why 730 and not 645 as scheduled?
negative,@AmericanAir I understand you are busy but I have still gotten no answer. I need to get home and you guys have not helped at all
negative,@JetBlue #489. Flight #589 is departing before we even board
positive,@SouthwestAir save mile to visit family in 2015 and this will impact how many times I can see my mother.  I planned and you change the rules
negative,@AmericanAir worst company ever please do not fly with them I repeat please do not fly !! They will not credit you if you're delayed
neutral,@JetBlue just leave certain things to the kids.
positive,@JetBlue just DMed. thanks so much for addressing this so quickly.
